kor_co_nm,fin_prdt_nm,join_way,crdt_prdt_type_nm,crdt_lend_rate_type_nm,crdt_grad_1,crdt_grad_4,crdt_grad_5,crdt_grad_6,crdt_grad_10,crdt_grad_11,crdt_grad_avg,search_text
우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",일반신용대출,,2.68,3.03,3.8,4.68,7.12,8.05,2.83,"상품명: 협약금리 外 신용대출상품
금융회사: 우리은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.68%
- 801-900점: 3.03%
- 701-800점: 3.8%
- 601-700점: 4.68%
- 501-600점: 7.12%
- 401-500점: 8.05%
평균금리: 2.83%
가입방법: 영업점,인터넷,스마트폰"
한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",일반신용대출,,2.24,2.08,2.41,,,,1.66,"상품명: 개인신용대출
금융회사: 한국스탠다드차타드은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.24%
- 801-900점: 2.08%
- 701-800점: 2.41%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 1.66%
가입방법: 영업점,스마트폰"
한국씨티은행,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",장기카드대출(카드론),,9.35,11.22,12.43,15.38,16.9,,12.32,"상품명: 장기카드대출
금융회사: 한국씨티은행
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 9.35%
- 801-900점: 11.22%
- 701-800점: 12.43%
- 601-700점: 15.38%
- 501-600점: 16.9%
- 401-500점: nan%
평균금리: 12.32%
가입방법: 인터넷,스마트폰,전화(텔레뱅킹),기타"
아이엠뱅크,일반신용대출,"영업점,스마트폰",일반신용대출,,5.01,5.29,5.65,7.94,3.82,,5.11,"상품명: 일반신용대출
금융회사: 아이엠뱅크
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 5.01%
- 801-900점: 5.29%
- 701-800점: 5.65%
- 601-700점: 7.94%
- 501-600점: 3.82%
- 401-500점: nan%
평균금리: 5.11%
가입방법: 영업점,스마트폰"
아이엠뱅크,마이너스한도대출,"영업점,스마트폰",마이너스한도대출,,9.35,11.22,12.43,15.38,16.9,,12.32,"상품명: 마이너스한도대출
금융회사: 아이엠뱅크
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 9.35%
- 801-900점: 11.22%
- 701-800점: 12.43%
- 601-700점: 15.38%
- 501-600점: 16.9%
- 401-500점: nan%
평균금리: 12.32%
가입방법: 영업점,스마트폰"
아이엠뱅크,장기카드대출,"스마트폰,모집인",장기카드대출(카드론),,9.35,11.22,12.43,15.38,16.9,,12.32,"상품명: 장기카드대출
금융회사: 아이엠뱅크
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 9.35%
- 801-900점: 11.22%
- 701-800점: 12.43%
- 601-700점: 15.38%
- 501-600점: 16.9%
- 401-500점: nan%
평균금리: 12.32%
가입방법: 스마트폰,모집인"
부산은행,ONE신용대출,"영업점,스마트폰",일반신용대출,,0.72,0.11,0.04,,,,0.57,"상품명: ONE신용대출
금융회사: 부산은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 0.72%
- 801-900점: 0.11%
- 701-800점: 0.04%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 0.57%
가입방법: 영업점,스마트폰"
부산은행,장기카드대출,"영업점,기타",장기카드대출(카드론),,9.35,11.22,12.43,15.38,16.9,,12.32,"상품명: 장기카드대출
금융회사: 부산은행
대출유형: 장기카드대출(카드론)
금리유형: nan
신용등급별금리:
- 900점초과: 9.35%
- 801-900점: 11.22%
- 701-800점: 12.43%
- 601-700점: 15.38%
- 501-600점: 16.9%
- 401-500점: nan%
평균금리: 12.32%
가입방법: 영업점,기타"
광주은행,일반신용대출,"영업점,스마트폰",일반신용대출,,2.67,2.77,3.06,3.24,3.38,2.79,2.76,"상품명: 일반신용대출
금융회사: 광주은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 2.67%
- 801-900점: 2.77%
- 701-800점: 3.06%
- 601-700점: 3.24%
- 501-600점: 3.38%
- 401-500점: 2.79%
평균금리: 2.76%
가입방법: 영업점,스마트폰"
광주은행,마이너스한도대출,"영업점,스마트폰",마이너스한도대출,,1.21,0.93,0.42,6.85,,,1.17,"상품명: 마이너스한도대출
금융회사: 광주은행
대출유형: 마이너스한도대출
금리유형: nan
신용등급별금리:
- 900점초과: 1.21%
- 801-900점: 0.93%
- 701-800점: 0.42%
- 601-700점: 6.85%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 1.17%
가입방법: 영업점,스마트폰"
