dcls_month_x,fin_co_no_x,fin_prdt_cd,crdt_prdt_type_x,kor_co_nm,fin_prdt_nm,join_way,cb_name,crdt_prdt_type_nm,dcls_strt_day,dcls_end_day,fin_co_subm_day,dcls_month_y,fin_co_no_y,crdt_prdt_type_y,crdt_lend_rate_type,crdt_lend_rate_type_nm,crdt_grad_1,crdt_grad_4,crdt_grad_5,crdt_grad_6,crdt_grad_10,crdt_grad_11,crdt_grad_12,crdt_grad_13,crdt_grad_avg,region_code,region_name
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010001,1,C,가산금리,2.68,3.03,3.8,4.68,7.12,8.05,7.39,6.98,2.83,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010001,1,B,기준금리,2.61,2.63,2.64,2.65,2.7,2.73,2.82,2.6,2.61,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010001,1,A,대출금리,4.36,4.92,5.96,6.91,9.29,10.16,9.4,8.81,4.57,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010001,1,D,가감조정금리,0.93,0.74,0.48,0.42,0.53,0.62,0.81,0.77,0.87,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010022,1,A,대출금리,7.87,10.67,13.35,14.96,17.84,9.34,10.01,17.89,12.36,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010022,1,D,가감조정금리,1.2,0.77,1.33,2.87,13.55,19.05,18.48,1.78,1.58,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010022,1,B,기준금리,2.78,2.72,2.71,2.69,2.64,2.59,2.59,2.64,2.72,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010022,1,C,가산금리,6.29,8.72,11.97,15.14,28.75,25.8,25.9,17.03,11.22,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010024,1,A,대출금리,5.61,6.46,7.29,8.64,10.77,10.45,13.06,,6.17,020000,은행
202506,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20250620,99991231,202506201128,202506,0010024,1,B,기준금리,2.75,2.72,2.69,2.71,2.77,2.76,2.68,,2.73,020000,은행
