kor_co_nm,fin_prdt_nm,join_way,pnsn_kind_nm,prdt_type_nm,dcls_rate,guar_rate,btrm_prft_rate_1,btrm_prft_rate_2,btrm_prft_rate_3,etc,pnsn_recp_trm_nm,pnsn_entr_age_nm,mon_paym_atm_nm,paym_prd_nm,pnsn_strt_age_nm,etc_available,etc_clean,search_text
롯데손해보험주식회사,연금저축손해보험 롯데 행복한동행 연금보험(2004),기타,연금저축보험(손해),금리연동형,1.6,,1.6,1.65,1.7,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 롯데 행복한동행 연금보험(2004)
금융회사: 롯데손해보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.6%
최저보증이율: nan%
과거수익률1년: 1.6%
과거수익률2년: 1.65%
과거수익률3년: 1.7%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 기타"
흥국생명보험주식회사,(무)흥국생명 연금저축보험,모집인,연금저축보험(생명),금리연동형,2.35,,-0.04,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: (무)흥국생명 연금저축보험
금융회사: 흥국생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.35%
최저보증이율: nan%
과거수익률1년: -0.04%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
흥국생명보험주식회사,(무)흥국생명 온라인연금저축보험,"인터넷,스마트폰",연금저축보험(생명),금리연동형,2.35,,-0.04,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: (무)흥국생명 온라인연금저축보험
금융회사: 흥국생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.35%
최저보증이율: nan%
과거수익률1년: -0.04%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷,스마트폰"
주식회사KB손해보험,연금저축손해보험 KB다이렉트연금보험(20.04),인터넷,연금저축보험(손해),금리연동형,1.5,,1.55,1.6,1.6,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 KB다이렉트연금보험(20.04)
금융회사: 주식회사KB손해보험
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: 1.55%
과거수익률2년: 1.6%
과거수익률3년: 1.6%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
삼성화재해상보험주식회사,연금저축손해보험 삼성화재 다이렉트 연금저축(2004.6),"인터넷,스마트폰",연금저축보험(손해),금리연동형,1.6,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 삼성화재 다이렉트 연금저축(2004.6)
금융회사: 삼성화재해상보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.6%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷,스마트폰"
에이비엘생명보험주식회사,무배당 ABL인터넷연금저축보험(60세),인터넷,연금저축보험(생명),금리연동형,2.65,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 무배당 ABL인터넷연금저축보험(60세)
금융회사: 에이비엘생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.65%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
한화생명보험주식회사,한화생명 e연금저축보험 무배당,인터넷,연금저축보험(생명),금리연동형,2.37,,,,,"지정대리청구서비스특약, 단체취급특약",10년 확정,30세,"100,000원",10년,60세,True,"지정대리청구서비스특약, 단체취급특약","상품명: 한화생명 e연금저축보험 무배당
금융회사: 한화생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.37%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
농협생명보험주식회사,e-NH연금저축보험(무배당)_2002,인터넷,연금저축보험(생명),금리연동형,2.2,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: e-NH연금저축보험(무배당)_2002
금융회사: 농협생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.2%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
농협생명보험주식회사,NH온라인연금저축보험(무배당)_2002,인터넷,연금저축보험(생명),금리연동형,2.2,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: NH온라인연금저축보험(무배당)_2002
금융회사: 농협생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.2%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
롯데손해보험주식회사,연금저축손해보험 롯데 하우머치 다이렉트 연금보험(2004),"인터넷,스마트폰",연금저축보험(손해),금리연동형,1.6,,1.6,1.65,1.7,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 롯데 하우머치 다이렉트 연금보험(2004)
금융회사: 롯데손해보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.6%
최저보증이율: nan%
과거수익률1년: 1.6%
과거수익률2년: 1.65%
과거수익률3년: 1.7%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷,스마트폰"
