dcls_month_x,fin_co_no_x,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,loan_inci_expn,erly_rpay_fee,dly_rate,loan_lmt,dcls_strt_day,dcls_end_day,fin_co_subm_day,dcls_month_y,fin_co_no_y,mrtg_type,mrtg_type_nm,rpay_type,rpay_type_nm,lend_rate_type,lend_rate_type_nm,lend_rate_min,lend_rate_max,lend_rate_avg,region_code,region_name
202506,0010001,1054,우리은행,우리아파트론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.74%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.74%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20250620,20260619,202506191343,202506,0010001,A,아파트,S,만기일시상환방식,C,변동금리,3.89,5.29,,020000,은행
202506,0010001,1054,우리은행,우리아파트론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.74%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.74%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20250620,20260619,202506191343,202506,0010001,A,아파트,D,분할상환방식,C,변동금리,3.86,5.36,5.33,020000,은행
202506,0010001,1054,우리은행,우리아파트론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.74%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.74%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20250620,20260619,202506191343,202506,0010001,A,아파트,D,분할상환방식,F,고정금리,3.55,5.05,3.88,020000,은행
202506,0010001,1055,우리은행,우리부동산론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.74%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.74%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20250620,20260619,202506191343,202506,0010001,E,아파트외,D,분할상환방식,F,고정금리,3.75,5.25,4.22,020000,은행
202506,0010001,1055,우리은행,우리부동산론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.74%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.74%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20250620,20260619,202506191343,202506,0010001,E,아파트외,D,분할상환방식,C,변동금리,3.86,5.36,4.66,020000,은행
202506,0010001,1055,우리은행,우리부동산론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.74%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.74%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20250620,20260619,202506191343,202506,0010001,E,아파트외,S,만기일시상환방식,C,변동금리,3.89,5.29,,020000,은행
202506,0010002,SC002111SC002015,한국스탠다드차타드은행,주택담보대출,"영업점,스마트폰","인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함","조기상환원금 × 0.4% × [(3년-대출경과일수) / 3년]
매년 대출잔액의 10% 까지 중도상환수수료 면제","대출금리 + 연 3%
(최고 연체이자율 : 연 15%)","LTV 최대 80%
최대 대출한도 : 1,500백만원",20250619,,202506190924,202506,0010002,A,아파트,D,분할상환방식,F,고정금리,4.57,5.12,4.27,020000,은행
202506,0010002,SC002111SC002015,한국스탠다드차타드은행,주택담보대출,"영업점,스마트폰","인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함","조기상환원금 × 0.4% × [(3년-대출경과일수) / 3년]
매년 대출잔액의 10% 까지 중도상환수수료 면제","대출금리 + 연 3%
(최고 연체이자율 : 연 15%)","LTV 최대 80%
최대 대출한도 : 1,500백만원",20250619,,202506190924,202506,0010002,A,아파트,D,분할상환방식,C,변동금리,4.03,4.78,3.86,020000,은행
202506,0010002,SC002111SC002015,한국스탠다드차타드은행,주택담보대출,"영업점,스마트폰","인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함","조기상환원금 × 0.4% × [(3년-대출경과일수) / 3년]
매년 대출잔액의 10% 까지 중도상환수수료 면제","대출금리 + 연 3%
(최고 연체이자율 : 연 15%)","LTV 최대 80%
최대 대출한도 : 1,500백만원",20250619,,202506190924,202506,0010002,E,아파트외,D,분할상환방식,F,고정금리,4.72,5.27,4.55,020000,은행
202506,0010002,SC002111SC002015,한국스탠다드차타드은행,주택담보대출,"영업점,스마트폰","인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함","조기상환원금 × 0.4% × [(3년-대출경과일수) / 3년]
매년 대출잔액의 10% 까지 중도상환수수료 면제","대출금리 + 연 3%
(최고 연체이자율 : 연 15%)","LTV 최대 80%
최대 대출한도 : 1,500백만원",20250619,,202506190924,202506,0010002,E,아파트외,D,분할상환방식,C,변동금리,4.18,4.93,4.08,020000,은행
202506,0010016,20283770000001001,아이엠뱅크,HYBRID 모기지론(생활),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,F,고정금리,3.61,4.71,4.08,020000,은행
202506,0010016,20283770000001001,아이엠뱅크,HYBRID 모기지론(생활),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,E,아파트외,D,분할상환방식,F,고정금리,3.61,4.71,4.08,020000,은행
202506,0010016,20283770001162002,아이엠뱅크,IM주택담보대출_5년고정금리(생활),스마트폰,"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,F,고정금리,3.61,4.51,3.72,020000,은행
202506,0010016,2028377B000001001,아이엠뱅크,장기모기지론_금융채5년변동(생활),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,C,변동금리,3.72,4.82,3.95,020000,은행
202506,0010016,2028377B000001001,아이엠뱅크,장기모기지론_금융채5년변동(생활),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,E,아파트외,D,분할상환방식,C,변동금리,3.72,4.82,4.03,020000,은행
202506,0010016,2028377B001162002,아이엠뱅크,IM주택담보대출_금융채5년변동(생활),스마트폰,"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,C,변동금리,3.5,4.4,3.56,020000,은행
202506,0010016,20461570000001001,아이엠뱅크,HYBRID 모기지론(구입),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,E,아파트외,D,분할상환방식,F,고정금리,3.61,4.71,,020000,은행
202506,0010016,20461570000001001,아이엠뱅크,HYBRID 모기지론(구입),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,F,고정금리,3.61,4.71,3.91,020000,은행
202506,0010016,20461570001162002,아이엠뱅크,IM주택담보대출_5년고정금리(구입),스마트폰,"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,F,고정금리,3.61,4.51,3.65,020000,은행
202506,0010016,2046157B000001001,아이엠뱅크,장기모기지론_금융채5년변동(구입),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,C,변동금리,3.72,4.82,3.7,020000,은행
202506,0010016,2046157B000001001,아이엠뱅크,장기모기지론_금융채5년변동(구입),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,E,아파트외,D,분할상환방식,C,변동금리,3.72,4.82,4.01,020000,은행
202506,0010016,2046157B001162002,아이엠뱅크,IM주택담보대출_금융채5년변동(구입),스마트폰,"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20250620,20250731,202506180901,202506,0010016,A,아파트,D,분할상환방식,C,변동금리,3.5,4.4,3.57,020000,은행
202506,0010017,0519,부산은행,BNK행복스케치 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,A,아파트,D,분할상환방식,C,변동금리,4.09,5.09,,020000,은행
202506,0010017,0519,부산은행,BNK행복스케치 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,A,아파트,S,만기일시상환방식,C,변동금리,5.09,6.09,5.21,020000,은행
202506,0010017,0519,부산은행,BNK행복스케치 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,E,아파트외,D,분할상환방식,C,변동금리,4.29,5.29,,020000,은행
202506,0010017,0519,부산은행,BNK행복스케치 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,E,아파트외,S,만기일시상환방식,C,변동금리,5.29,6.29,,020000,은행
202506,0010017,0599,부산은행,BNK357금리안심모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,E,아파트외,S,만기일시상환방식,F,고정금리,4.22,5.12,,020000,은행
202506,0010017,0599,부산은행,BNK357금리안심모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,E,아파트외,D,분할상환방식,F,고정금리,4.03,4.93,4.39,020000,은행
202506,0010017,0599,부산은행,BNK357금리안심모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,A,아파트,D,분할상환방식,F,고정금리,3.83,4.73,4.08,020000,은행
202506,0010017,0599,부산은행,BNK357금리안심모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,A,아파트,S,만기일시상환방식,F,고정금리,4.02,4.92,,020000,은행
202506,0010017,0718,부산은행,BNK금리상한 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,A,아파트,D,분할상환방식,C,변동금리,3.8,5.1,,020000,은행
202506,0010017,0718,부산은행,BNK금리상한 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 0.71%, 변동금리 0.68%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20250620,,202506201335,202506,0010017,E,아파트외,D,분할상환방식,C,변동금리,4.0,5.3,,020000,은행
202506,0010019,LN11010001301,광주은행,광주은행아파트담보대출,영업점,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율(0.40%) × (대출잔여일수 ÷ 대출기간),적용금리 + 3% (최고 15%),감정가액 x 담보인정비율(LTV) 70% 이내,20250620,20250731,202506200932,202506,0010019,A,아파트,D,분할상환방식,F,고정금리,4.45,5.45,,020000,은행
202506,0010019,LN11010001301,광주은행,광주은행아파트담보대출,영업점,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율(0.40%) × (대출잔여일수 ÷ 대출기간),적용금리 + 3% (최고 15%),감정가액 x 담보인정비율(LTV) 70% 이내,20250620,20250731,202506200932,202506,0010019,A,아파트,D,분할상환방식,C,변동금리,3.78,4.78,4.01,020000,은행
202506,0010019,LN11010001302,광주은행,광주은행기타주택담보대출,영업점,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율(0.40%) × (대출잔여일수 ÷ 대출기간),적용금리 + 3% (최고 15%),감정가액 x 담보인정비율(LTV) 70% 이내,20250620,20250731,202506200932,202506,0010019,E,아파트외,D,분할상환방식,F,고정금리,4.55,5.55,,020000,은행
202506,0010019,LN11010001302,광주은행,광주은행기타주택담보대출,영업점,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율(0.40%) × (대출잔여일수 ÷ 대출기간),적용금리 + 3% (최고 15%),감정가액 x 담보인정비율(LTV) 70% 이내,20250620,20250731,202506200932,202506,0010019,E,아파트외,D,분할상환방식,C,변동금리,3.88,4.88,4.19,020000,은행
202506,0010019,LN11010001585,광주은행,KJB모바일 주택담보대출,스마트폰,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율(0.40%) × (대출잔여일수 ÷ 대출기간),적용금리 + 3% (최고 15%),10억원 이내,20250620,20250731,202506200932,202506,0010019,A,아파트,D,분할상환방식,C,변동금리,3.85,4.85,3.76,020000,은행
202506,0010020,12106723,제주은행,금리safe모기지론,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20250620,,202506181520,202506,0010020,A,아파트,D,분할상환방식,F,고정금리,3.94,4.94,,020000,은행
202506,0010020,12106723,제주은행,금리safe모기지론,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20250620,,202506181520,202506,0010020,A,아파트,S,만기일시상환방식,F,고정금리,4.19,5.19,,020000,은행
202506,0010020,12106723,제주은행,금리safe모기지론,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20250620,,202506181520,202506,0010020,E,아파트외,D,분할상환방식,F,고정금리,3.94,4.94,,020000,은행
202506,0010020,12106723,제주은행,금리safe모기지론,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20250620,,202506181520,202506,0010020,E,아파트외,S,만기일시상환방식,F,고정금리,4.19,5.19,5.4,020000,은행
202506,0010020,12107084,제주은행,제주홈대출,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20250620,,202506181520,202506,0010020,E,아파트외,S,만기일시상환방식,C,변동금리,3.96,4.96,4.6,020000,은행
202506,0010020,12107084,제주은행,제주홈대출,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20250620,,202506181520,202506,0010020,E,아파트외,D,분할상환방식,C,변동금리,4.13,5.13,5.56,020000,은행
202506,0010020,12107084,제주은행,제주홈대출,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20250620,,202506181520,202506,0010020,A,아파트,S,만기일시상환방식,C,변동금리,3.96,4.96,4.42,020000,은행
